3652.9383 	EXP 	New trial (rep=10, index=0): None
3652.9500 	EXP 	fixation: autoDraw = False
3652.9500 	EXP 	grating: autoDraw = False
3652.9500 	EXP 	grating: ori = 0.0
3652.9500 	EXP 	fixation: autoDraw = True
3653.9475 	EXP 	grating: autoDraw = True
3653.9641 	EXP 	fixation: autoDraw = False
3654.2474 	EXP 	grating: autoDraw = False
3654.4833 	EXP 	New trial (rep=11, index=0): None
3654.4973 	EXP 	fixation: autoDraw = False
3654.4973 	EXP 	grating: autoDraw = False
3654.4973 	EXP 	grating: ori = 4.0
3654.4973 	EXP 	fixation: autoDraw = True
3655.4977 	EXP 	fixation: autoDraw = False
3655.4977 	EXP 	grating: autoDraw = True
3655.7968 	EXP 	grating: autoDraw = False
3656.0358 	EXP 	New trial (rep=12, index=0): None
3656.0474 	EXP 	fixation: autoDraw = False
3656.0474 	EXP 	grating: autoDraw = False
3656.0474 	EXP 	grating: ori = -5.0
3656.0474 	EXP 	fixation: autoDraw = True
3657.0468 	EXP 	fixation: autoDraw = False
3657.0468 	EXP 	grating: autoDraw = True
3657.3474 	EXP 	grating: autoDraw = False
3657.6182 	EXP 	New trial (rep=13, index=0): None
3657.6297 	EXP 	fixation: autoDraw = False
3657.6297 	EXP 	grating: autoDraw = False
3657.6297 	EXP 	grating: ori = 2.0
3657.6297 	EXP 	fixation: autoDraw = True
3658.6301 	EXP 	fixation: autoDraw = False
3658.6301 	EXP 	grating: autoDraw = True
3658.9296 	EXP 	grating: autoDraw = False
3659.1503 	EXP 	New trial (rep=14, index=0): None
3659.1630 	EXP 	fixation: autoDraw = False
3659.1630 	EXP 	grating: autoDraw = False
3659.1630 	EXP 	grating: ori = 3.0
3659.1630 	EXP 	fixation: autoDraw = True
3660.1628 	EXP 	fixation: autoDraw = False
3660.1628 	EXP 	grating: autoDraw = True
3660.4626 	EXP 	grating: autoDraw = False
3660.6193 	EXP 	New trial (rep=15, index=0): None
3660.6310 	EXP 	fixation: autoDraw = False
3660.6310 	EXP 	grating: autoDraw = False
3660.6310 	EXP 	grating: ori = -4.0
3660.6310 	EXP 	fixation: autoDraw = True
3661.6289 	EXP 	grating: autoDraw = True
3661.6456 	EXP 	fixation: autoDraw = False
3661.9290 	EXP 	grating: autoDraw = False
3662.1195 	EXP 	New trial (rep=16, index=0): None
3662.1305 	EXP 	fixation: autoDraw = False
3662.1305 	EXP 	grating: autoDraw = False
3662.1305 	EXP 	grating: ori = 4.0
3662.1305 	EXP 	fixation: autoDraw = True
3663.1288 	EXP 	grating: autoDraw = True
3663.1455 	EXP 	fixation: autoDraw = False
3663.4290 	EXP 	grating: autoDraw = False
3663.6338 	EXP 	New trial (rep=17, index=0): None
3663.6453 	EXP 	fixation: autoDraw = False
3663.6453 	EXP 	grating: autoDraw = False
3663.6453 	EXP 	grating: ori = -3.0
3663.6453 	EXP 	fixation: autoDraw = True
